DOI,Abstract,Label,Cleaned_Abstract
10.2307/2953656,"Proposals for 'inflation targeting' as a strategy for monetary policy leave open the important operational question of how to determine whether current policies are consistent with the long-run inflation target. An interesting possibility is that the central bank might target current private-sector forecasts of inflation, either those made explicitly by professional forecasters or those implicit in asset prices. We address the issue of existence and uniqueness of rational expectations equilibria when the central bank uses private-sector forecasts as a guide to policy actions. In a dynamic model which incorporates both sluggish price adjustment and shocks to aggregate demand and aggregate supply, we show that strict targeting of inflation forecasts is typically inconsistent with the existence of rational expectations equilibrium, and that policies approximating strict inflation-forecast targeting are likely to have undesirable properties. We also show that economies with more general forecast-based policy rules are particularly susceptible to indeterminacy of rational expectations equilibria. We conclude that, although private-sector forecasts may contain information useful to the central bank, ultimately the monetary authorities must rely on an explicit structural model of the economy to guide their policy decisions.",1,proposals for inflation targeting as a strategy for monetary policy leave open the important operational question of how to determine whether current policies are consistent with the longrun inflation target an interesting possibility is that the central bank might target current privatesector forecasts of inflation either those made explicitly by professional forecasters or those implicit in asset prices we address the issue of existence and uniqueness of rational expectations equilibria when the central bank uses privatesector forecasts as a guide to policy actions in a dynamic model which incorporates both sluggish price adjustment and shocks to aggregate demand and aggregate supply we show that strict targeting of inflation forecasts is typically inconsistent with the existence of rational expectations equilibrium and that policies approximating strict inflationforecast targeting are likely to have undesirable properties we also show that economies with more general forecastbased policy rules are particularly susceptible to indeterminacy of rational expectations equilibria we conclude that although privatesector forecasts may contain information useful to the central bank ultimately the monetary authorities must rely on an explicit structural model of the economy to guide their policy decisions
10.1111/j.1538-4616.2007.00014.x,"We examine whether the U.S. rate of price inflation has become harder to forecast and, to the extent that it has, what changes in the inflation process have made it so. The main finding is that the univariate inflation process is well described by an unobserved component trend‐cycle model with stochastic volatility or, equivalently, an integrated moving average process with time‐varying parameters. This model explains a variety of recent univariate inflation forecasting puzzles and begins to explain some multivariate inflation forecasting puzzles as well.",1,we examine whether the us rate of price inflation has become harder to forecast and to the extent that it has what changes in the inflation process have made it so the main finding is that the univariate inflation process is well described by an unobserved component trend‐cycle model with stochastic volatility or equivalently an integrated moving average process with time‐varying parameters this model explains a variety of recent univariate inflation forecasting puzzles and begins to explain some multivariate inflation forecasting puzzles as well
10.3386/w9747,"We examine to what extent variants of inflation-forecast targeting can avoid stabilization bias, incorporate history-dependence, and achieve determinacy of equilibrium, so as to reproduce a socially optimal equilibrium. We also evaluate these variants in terms of the transparency of the connection with the ultimate policy goals and the robustness to model perturbations. A suitably designed inflation-forecast targeting rule can achieve the social optimum and at the same time have a more transparent connection to policy goals and be more robust than competing instrument rules.",1,we examine to what extent variants of inflationforecast targeting can avoid stabilization bias incorporate historydependence and achieve determinacy of equilibrium so as to reproduce a socially optimal equilibrium we also evaluate these variants in terms of the transparency of the connection with the ultimate policy goals and the robustness to model perturbations a suitably designed inflationforecast targeting rule can achieve the social optimum and at the same time have a more transparent connection to policy goals and be more robust than competing instrument rules
10.1080/07350015.2012.727718,"This article revisits the accuracy of inflation forecasting using activity and expectations variables. We apply Bayesian model averaging across different regression specifications selected from a set of potential predictors that includes lagged values of inflation, a host of real activity data, term structure data, (relative) price data, and surveys. In this model average, we can entertain different channels of structural instability, by either incorporating stochastic breaks in the regression parameters of each individual specification within this average, or allowing for breaks in the error variance of the overall model average, or both. Thus, our framework simultaneously addresses structural change and model uncertainty that would unavoidably affect any inflation forecast model. The different versions of our framework are used to model U.S. personal consumption expenditures (PCE) deflator and gross domestic product (GDP) deflator inflation rates for the 1960–2011 period. A real-time inflation forecast evaluation shows that averaging over many predictors in a model that at least allows for structural breaks in the error variance results in very accurate point and density forecasts, especially for the post-1984 period. Our framework is especially useful when forecasting, in real-time, the likelihood of lower-than-usual inflation rates over the medium term. This article has online supplementary materials.",1,this article revisits the accuracy of inflation forecasting using activity and expectations variables we apply bayesian model averaging across different regression specifications selected from a set of potential predictors that includes lagged values of inflation a host of real activity data term structure data relative price data and surveys in this model average we can entertain different channels of structural instability by either incorporating stochastic breaks in the regression parameters of each individual specification within this average or allowing for breaks in the error variance of the overall model average or both thus our framework simultaneously addresses structural change and model uncertainty that would unavoidably affect any inflation forecast model the different versions of our framework are used to model us personal consumption expenditures pce deflator and gross domestic product gdp deflator inflation rates for the – period a realtime inflation forecast evaluation shows that averaging over many predictors in a model that at least allows for structural breaks in the error variance results in very accurate point and density forecasts especially for the post period our framework is especially useful when forecasting in realtime the likelihood of lowerthanusual inflation rates over the medium term this article has online supplementary materials
10.21034/qr.2511,"This study evaluates the conventional wisdom that modern Phillips curve-based models are useful tools for forecasting inflation. These models are based on the non-accelerating inflation rate of unemployment (the NAIRU). The study compares the accuracy, over the last 15 years, of three sets of inflation forecasts from NAIRU models to the naive forecast that at any date inflation will be the same over the next year as it has been over the last year. The conventional wisdom is wrong; none of the NAIRU forecasts is more accurate than the naive forecast. The likelihood of accurately predicting a change in the inflation rate from these three forecasts is no better than the likelihood of accurately predicting a change based on a coin flip. The forecasts include those from a textbook NAIRU model, those from two models similar to Stock and Watson's, and those produced by the Federal Reserve Board.",1,this study evaluates the conventional wisdom that modern phillips curvebased models are useful tools for forecasting inflation these models are based on the nonaccelerating inflation rate of unemployment the nairu the study compares the accuracy over the last years of three sets of inflation forecasts from nairu models to the naive forecast that at any date inflation will be the same over the next year as it has been over the last year the conventional wisdom is wrong none of the nairu forecasts is more accurate than the naive forecast the likelihood of accurately predicting a change in the inflation rate from these three forecasts is no better than the likelihood of accurately predicting a change based on a coin flip the forecasts include those from a textbook nairu model those from two models similar to stock and watsons and those produced by the federal reserve board
10.1257/002205103322436197,"Are asset prices useful predictors of inflation and real output growth? After reviewing the large literature on this topic, we undertake an empirical analysis of quarterly data for seven OECD countries spanning 1959-99. The literature review and the empirical analysis yield the same conclusions. Some asset prices predict inflation or output growth in some countries in some periods. Which series predicts what, when, and where is difficult to predict; being a good predictor historically is largely unrelated to subsequent performance. Intriguingly, forecasts that combine these individually unstable forecasts appear to improve reliably upon univariate benchmarks.",1,are asset prices useful predictors of inflation and real output growth after reviewing the large literature on this topic we undertake an empirical analysis of quarterly data for seven oecd countries spanning the literature review and the empirical analysis yield the same conclusions some asset prices predict inflation or output growth in some countries in some periods which series predicts what when and where is difficult to predict being a good predictor historically is largely unrelated to subsequent performance intriguingly forecasts that combine these individually unstable forecasts appear to improve reliably upon univariate benchmarks
10.3386/w5797,Inflation targeting is shown to imply inflation forecast targeting; the central bank’s inflation forecast becomes an explicit intermediate target. Inflation forecast targeting simplifies both implementation and monitoring of monetary policy. The weight on output stabilization determines how quickly the inflation forecast is adjusted towards the inflation target. Money growth or exchange rate targeting is generally inferior than inflation targeting and leads to higher inflation variability. Commitment to ‘target rules’ may be better than commitment to ‘instrument rules’.,1,inflation targeting is shown to imply inflation forecast targeting the central bank’s inflation forecast becomes an explicit intermediate target inflation forecast targeting simplifies both implementation and monitoring of monetary policy the weight on output stabilization determines how quickly the inflation forecast is adjusted towards the inflation target money growth or exchange rate targeting is generally inferior than inflation targeting and leads to higher inflation variability commitment to ‘target rules’ may be better than commitment to ‘instrument rules’
10.21799/frbp.wp.1998.14,"In the early 1980s, economists tested inflation forecasts and found that the forecasts were very bad. Either the surveys didn't capture forecasters' expectations or forecasters didn't have rational expectations. However, the sample period being examined consisted mostly of data from the volatile 1970s, when forecasting was extremely difficult. The question is: if we run the same types of tests that were performed 15 years ago on an updated sample, will we find the same problems with the forecasts? This paper finds that much of the empirical work from 15 years ago does not stand the test of time. The forecast errors from the surveys aren't nearly as bad today as they were in the 1970s. However, there remain some problems in the forecasts. It appears to be possible to improve inflation forecasts over some sample periods using bias regressions, and the forecasts don't pass all tests for optimality.",1,in the early s economists tested inflation forecasts and found that the forecasts were very bad either the surveys didnt capture forecasters expectations or forecasters didnt have rational expectations however the sample period being examined consisted mostly of data from the volatile s when forecasting was extremely difficult the question is if we run the same types of tests that were performed years ago on an updated sample will we find the same problems with the forecasts this paper finds that much of the empirical work from years ago does not stand the test of time the forecast errors from the surveys arent nearly as bad today as they were in the s however there remain some problems in the forecasts it appears to be possible to improve inflation forecasts over some sample periods using bias regressions and the forecasts dont pass all tests for optimality
10.1257/jel.41.3.788,"This paper examines old and new evidence on the predictive performance of asset prices for inflation and real output growth. We first review the large literature on this topic, focusing on the past dozen years. We then undertake an empirical analysis of quarterly date on up to 38 candidate indicators (mainly asset prices) for seven OECD countries for a span of up to 41 years (1959 - 1999). The conclusions from the literature review and the empirical analysis are the same. Some asset prices predict either inflation or output growth in some countries in some periods. Which series predicts what, when and where is, however, itself difficult to predict: good forecasting performance by an indicator in one period seems to be unrelated to whether it is a useful predictor in a later period. Intriguingly, forecasts produced by combining these unstable individual forecasts appear to improve reliably upon univariate benchmarks.",1,this paper examines old and new evidence on the predictive performance of asset prices for inflation and real output growth we first review the large literature on this topic focusing on the past dozen years we then undertake an empirical analysis of quarterly date on up to candidate indicators mainly asset prices for seven oecd countries for a span of up to years the conclusions from the literature review and the empirical analysis are the same some asset prices predict either inflation or output growth in some countries in some periods which series predicts what when and where is however itself difficult to predict good forecasting performance by an indicator in one period seems to be unrelated to whether it is a useful predictor in a later period intriguingly forecasts produced by combining these unstable individual forecasts appear to improve reliably upon univariate benchmarks
10.1111/j.1538-4616.2012.00534.x,"This paper investigates the effects of media coverage about consumer price inflation on inflation forecast disagreement of German households and professional forecasters. We adopt a Bayesian learning model in which media coverage of inflation affects forecast disagreement by influencing information sets as well as predictor choice. Our empirical results show that disagreement of households depends on the heterogeneity of story content and on the reporting intensity, especially of news on rising inflation. Disagreement of professional forecasters does not depend on media coverage. With respect to the influence of macroeconomic variables, we provide evidence that disagreement of professional forecasters primarily depends on the inflation rate and on inflation volatility. The response of households to inflation is much less pronounced.",1,this paper investigates the effects of media coverage about consumer price inflation on inflation forecast disagreement of german households and professional forecasters we adopt a bayesian learning model in which media coverage of inflation affects forecast disagreement by influencing information sets as well as predictor choice our empirical results show that disagreement of households depends on the heterogeneity of story content and on the reporting intensity especially of news on rising inflation disagreement of professional forecasters does not depend on media coverage with respect to the influence of macroeconomic variables we provide evidence that disagreement of professional forecasters primarily depends on the inflation rate and on inflation volatility the response of households to inflation is much less pronounced
10.2307/2331136,"The expectations theory of the term structure is well known to give wrong signals as to the future course of long-term interest rates. One explanation involves rational time-varying term premia. However, the “anomaly” may also be due to inflation forecast errors. We study survey forecasts of inflation. It seems that the respondents' forecasts are insufficiently adaptive. Interest rates reflect expectations similar to the inflation forecasts. As a result, past survey forecast errors reliably predict premia on U.S. Government Bonds.",1,the expectations theory of the term structure is well known to give wrong signals as to the future course of longterm interest rates one explanation involves rational timevarying term premia however the “anomaly” may also be due to inflation forecast errors we study survey forecasts of inflation it seems that the respondents forecasts are insufficiently adaptive interest rates reflect expectations similar to the inflation forecasts as a result past survey forecast errors reliably predict premia on us government bonds
10.1162/003465399558193,"We test the hypothesis associated with a standard assumption in the theoretical literature on learning: that economic agents interpret information identically. We use a data set based on a survey of Israeli business executives forecasting future inflation. One of the main advantages of using this data is that a major change in the inflation regime in 1985 can be treated as a natural experiment in new beliefs formation. We develop a methodology for testing this hypothesis and find evidence that is inconsistent with the identical-interpretation hypothesis, but is consistent with the proposed alternative.",1,we test the hypothesis associated with a standard assumption in the theoretical literature on learning that economic agents interpret information identically we use a data set based on a survey of israeli business executives forecasting future inflation one of the main advantages of using this data is that a major change in the inflation regime in can be treated as a natural experiment in new beliefs formation we develop a methodology for testing this hypothesis and find evidence that is inconsistent with the identicalinterpretation hypothesis but is consistent with the proposed alternative
