DOI,Abstract,Label,Cleaned_Abstract
10.3386/w6157,"Proposals for 'inflation targeting' as a strategy for monetary policy leave open the important operational question of how to determine whether current policies are consistent with the long-run inflation target. An interesting possibility is that the central bank might target current private-sector forecasts of inflation, either those made explicitly by professional forecasters or those implicit in asset prices. We address the issue of existence and uniqueness of rational expectations equilibria when the central bank uses private-sector forecasts as a guide to policy actions. In a dynamic model which incorporates both sluggish price adjustment and shocks to aggregate demand and aggregate supply, we show that strict targeting of inflation forecasts is typically inconsistent with the existence of rational expectations equilibrium, and that policies approximating strict inflation-forecast targeting are likely to have undesirable properties. We also show that economies with more general forecast-based policy rules are particularly susceptible to indeterminacy of rational expectations equilibria. We conclude that, although private-sector forecasts may contain information useful to the central bank, ultimately the monetary authorities must rely on an explicit structural model of the economy to guide their policy decisions.",1,proposals for inflation targeting as a strategy for monetary policy leave open the important operational question of how to determine whether current policies are consistent with the longrun inflation target an interesting possibility is that the central bank might target current privatesector forecasts of inflation either those made explicitly by professional forecasters or those implicit in asset prices we address the issue of existence and uniqueness of rational expectations equilibria when the central bank uses privatesector forecasts as a guide to policy actions in a dynamic model which incorporates both sluggish price adjustment and shocks to aggregate demand and aggregate supply we show that strict targeting of inflation forecasts is typically inconsistent with the existence of rational expectations equilibrium and that policies approximating strict inflationforecast targeting are likely to have undesirable properties we also show that economies with more general forecastbased policy rules are particularly susceptible to indeterminacy of rational expectations equilibria we conclude that although privatesector forecasts may contain information useful to the central bank ultimately the monetary authorities must rely on an explicit structural model of the economy to guide their policy decisions
,"a speech at the Monetary Economics Workshop of the National Bureau of Economic Research Summer Institute, Cambridge, Massachusetts",1,a speech at the monetary economics workshop of the national bureau of economic research summer institute cambridge massachusetts
,Inflation targeting is shown to imply inflation forecast targeting : the central bank's inflation forecast becomes an intermediate target. Inflation forecast targeting simplifies both implementaing and monitoring of monetary policy.,1,inflation targeting is shown to imply inflation forecast targeting the central banks inflation forecast becomes an intermediate target inflation forecast targeting simplifies both implementaing and monitoring of monetary policy
,"The contribution of this paper is to show how the balance of risk for various macro variables can be linked to inflation uncertainty. Inflation uncertainty is derived from uncertainty in the macro variables that are deemed to be important for future inflation. The paper focuses on the technical derivation of inflation forecast skewness from uncertainty in such macro variables. The uncertainty in these macro variables is based on their historical standard deviations, but we allow these to be subjectively adjusted if there is reason to be more or less uncertain than historically. We also allow for a subjective assessment of the balance of risk, i.e. whether the distributions are symmetric or not. The baseline case is that the distributions of the macro-variables are symmetric and Gaussian with standard deviations based on historical data; any departures from the baseline can typically be justified from some indicator correlated with future inflation.",1,the contribution of this paper is to show how the balance of risk for various macro variables can be linked to inflation uncertainty inflation uncertainty is derived from uncertainty in the macro variables that are deemed to be important for future inflation the paper focuses on the technical derivation of inflation forecast skewness from uncertainty in such macro variables the uncertainty in these macro variables is based on their historical standard deviations but we allow these to be subjectively adjusted if there is reason to be more or less uncertain than historically we also allow for a subjective assessment of the balance of risk ie whether the distributions are symmetric or not the baseline case is that the distributions of the macrovariables are symmetric and gaussian with standard deviations based on historical data any departures from the baseline can typically be justified from some indicator correlated with future inflation
,"In this paper, the interaction between inflation and monetary policy rules is analysed within the framework of a dynamic general equilibrium model derived from optimising behaviour and rational expectations. Using model simulations, it is illustrated that the control of monetary policy over the inflation process is strongly dependent on the role of forward looking expectations in the price and wage setting process and on the credibility of monetary policy in the expectation formation process of the private sector. Furthermore, the central bank should take into account a wide variety of indicators in making monetary policy decisions in order to approach the optimal monetary policy rule as closely as possible. 2 NBB WORKING PAPER No.1 - MARCH 2000 NBB WORKING PAPER No.1 - MARCH 2000 3 TABLE OF CONTENTS: 1. INTRODUCTION .............................................................................................................................1 2. A DYNAMIC GENERAL EQUILIBRIUM MODEL ...",1,in this paper the interaction between inflation and monetary policy rules is analysed within the framework of a dynamic general equilibrium model derived from optimising behaviour and rational expectations using model simulations it is illustrated that the control of monetary policy over the inflation process is strongly dependent on the role of forward looking expectations in the price and wage setting process and on the credibility of monetary policy in the expectation formation process of the private sector furthermore the central bank should take into account a wide variety of indicators in making monetary policy decisions in order to approach the optimal monetary policy rule as closely as possible nbb working paper no march nbb working paper no march table of contents introduction a dynamic general equilibrium model
,"The ability of the New Keynesian Phillips curve to explain US inflation dynamics when official central bank forecasts (Greenbook forecasts) are used as a proxy for inflation expectations is examined. The New Keynesian Phillips curve is estimated on quarterly data spanning the period 1970Q1-1998Q2 against the alternative of the Hybrid Phillips curve, which allows for a backward-looking component in the price-setting behavior in the economy. The results are compared to those obtained using actual data on future inflation as conventionally employed in empirical work under the assumption of rational expectations. The empirical evidence provides, in contrast to most of the relevant literature, considerable support for the standard forward-looking New Keynesian Phillips curve when inflation expectations are measured using official inflation forecasts. In this case, lagged inflation terms become insignificant in the hybrid specification. The usefulness of real unit labor cost as the preferred proxy for real marginal cost in recent empirical work on the Phillips curve is confirmed by our results.",1,the ability of the new keynesian phillips curve to explain us inflation dynamics when official central bank forecasts greenbook forecasts are used as a proxy for inflation expectations is examined the new keynesian phillips curve is estimated on quarterly data spanning the period q q against the alternative of the hybrid phillips curve which allows for a backwardlooking component in the pricesetting behavior in the economy the results are compared to those obtained using actual data on future inflation as conventionally employed in empirical work under the assumption of rational expectations the empirical evidence provides in contrast to most of the relevant literature considerable support for the standard forwardlooking new keynesian phillips curve when inflation expectations are measured using official inflation forecasts in this case lagged inflation terms become insignificant in the hybrid specification the usefulness of real unit labor cost as the preferred proxy for real marginal cost in recent empirical work on the phillips curve is confirmed by our results
,This paper argues that inflation-targeting central banks should announce explicit loss function with numerical relative weights on output-gap stabilization and use and announce optimal time-varying instrument-rate paths and corresponding inflation and output-gap forecasts. Simple voting procedures for forming the Monetary Policy Committee’s aggregate loss function and time-varying instrument-rate paths are suggested. Announcing an explicit loss function improves the transparency of inflation targeting and eliminates some misunderstandings of the meaning of “flexible ” inflation targeting. Using time-varying instrument-rate paths avoids a number of inconsistencies and other problems inherently associated with constant-interest-rate forecasts.,1,this paper argues that inflationtargeting central banks should announce explicit loss function with numerical relative weights on outputgap stabilization and use and announce optimal timevarying instrumentrate paths and corresponding inflation and outputgap forecasts simple voting procedures for forming the monetary policy committee’s aggregate loss function and timevarying instrumentrate paths are suggested announcing an explicit loss function improves the transparency of inflation targeting and eliminates some misunderstandings of the meaning of “flexible ” inflation targeting using timevarying instrumentrate paths avoids a number of inconsistencies and other problems inherently associated with constantinterestrate forecasts
,"Forecasts of inflation affect decision-making in many segments of the economy. But in the early 1980s, economists found that forecasts in surveys taken over the past 20 years systematically underpredicted inflation. As a result, many economists stopped paying attention to forecasts. However, they may have abandoned them too quickly. In this article, Dean Croushore takes a closer look at survey forecasts and, after considering some relevant factors, concludes that inflation forecasts may not be as bad as you think",1,forecasts of inflation affect decisionmaking in many segments of the economy but in the early s economists found that forecasts in surveys taken over the past years systematically underpredicted inflation as a result many economists stopped paying attention to forecasts however they may have abandoned them too quickly in this article dean croushore takes a closer look at survey forecasts and after considering some relevant factors concludes that inflation forecasts may not be as bad as you think
,"An artificial neural network (hence after, ANN) is an information processing paradigm that is inspired by the way biological nervous systems, such as the brain, process information. In previous two decades, ANN applications in economics and finance; for such tasks as pattern reorganization, and time series forecasting, have dramatically increased. Many central banks use forecasting\nmodels based on ANN methodology for predicting various macroeconomic indicators, like inflation, GDP Growth and currency in circulation etc. In this paper, we have attempted to forecast monthly YoY inflation for Pakistan by\nusing ANN for FY08 on the basis of monthly data of July 1993 to June 2007. We also compare the forecast performance of the ANN model with conventional univariate time series forecasting models such as AR(1) and ARIMA based models and observed that RMSE of ANN based forecasts is much less than the RMSE of forecasts based on AR(1) and ARIMA models. At least by this criterion forecast based on ANN are more precise.",1,an artificial neural network hence after ann is an information processing paradigm that is inspired by the way biological nervous systems such as the brain process information in previous two decades ann applications in economics and finance for such tasks as pattern reorganization and time series forecasting have dramatically increased many central banks use forecastingnmodels based on ann methodology for predicting various macroeconomic indicators like inflation gdp growth and currency in circulation etc in this paper we have attempted to forecast monthly yoy inflation for pakistan bynusing ann for fy on the basis of monthly data of july to june we also compare the forecast performance of the ann model with conventional univariate time series forecasting models such as ar and arima based models and observed that rmse of ann based forecasts is much less than the rmse of forecasts based on ar and arima models at least by this criterion forecast based on ann are more precise
,"An inflation target can serve as a nominal anchor, aiming at coordinating inflation expectations. As a nominal anchor, an inflation target also provides a commitment mechanism that increases the accountability of the monetary policy authority. The inflation target communicates to the public the inflation rate at which the central bank will aim in the future. It thus serves as a reference point against which the central bank can be judged. In January 1993 the Sveriges Riksbank, the central bank of Sweden, specified that the objective of monetary policy would henceforth be to limit the annual increase in the headline consumer price index (CPI) in 1995 and beyond to 2 percent, with a tolerance of plus or minus 1 percentage point. This objective corresponded to the so-called underlying rate of inflation when the target was announced. In 1993 and in 1994 as well, monetary policy aimed at preventing the inflationary impulse (which was deemed unavoidable) due to a large depreciation of the krona and changes in indirect taxes from causing a persistent increase in the underlying rate of inflation. The experience of the first years of inflation targeting in connection with the most recent amendments to the 1988 Riksbank Act, which came into force on January 1, 1999, and prescribe an explicit objective for monetary policy, gave reasons to clarify the formulation of monetary policy. Maintaining Price Stability The principles on which monetary policy decisions in Sweden are based can be formulated as a simple rule of thumb. 2 If the inflation forecast, based on an 1 The views expressed here are solely the responsibility of the author and should not be interpreted as reflecting the views of the Executive Board of Sveriges Riksbank. 2 For a more technical presentation see Svensson (1999).",1,an inflation target can serve as a nominal anchor aiming at coordinating inflation expectations as a nominal anchor an inflation target also provides a commitment mechanism that increases the accountability of the monetary policy authority the inflation target communicates to the public the inflation rate at which the central bank will aim in the future it thus serves as a reference point against which the central bank can be judged in january the sveriges riksbank the central bank of sweden specified that the objective of monetary policy would henceforth be to limit the annual increase in the headline consumer price index cpi in and beyond to percent with a tolerance of plus or minus percentage point this objective corresponded to the socalled underlying rate of inflation when the target was announced in and in as well monetary policy aimed at preventing the inflationary impulse which was deemed unavoidable due to a large depreciation of the krona and changes in indirect taxes from causing a persistent increase in the underlying rate of inflation the experience of the first years of inflation targeting in connection with the most recent amendments to the riksbank act which came into force on january and prescribe an explicit objective for monetary policy gave reasons to clarify the formulation of monetary policy maintaining price stability the principles on which monetary policy decisions in sweden are based can be formulated as a simple rule of thumb if the inflation forecast based on an the views expressed here are solely the responsibility of the author and should not be interpreted as reflecting the views of the executive board of sveriges riksbank for a more technical presentation see svensson
